plot,depth,period_relabel,max_do,min_do,start,end,delta_do,delta_index,delta_hrs,do_perc_hr
Freshwater,5,Flood #1,82.223,0,58,173,82.223,115,9.583333333333334,8.579791304347825
Freshwater,5,Flood #2,85.691,0,350,451,85.691,101,8.416666666666666,10.18110891089109
Freshwater,10,Flood #1,85.062,0,57,197,85.062,140,11.666666666666666,7.291028571428572
Freshwater,10,Flood #2,86.771,0,349,413,86.771,64,5.333333333333333,16.269562500000003
Freshwater,20,Flood #1,82.143,0,57,177,82.143,120,10,8.2143
Freshwater,20,Flood #2,85.65,0,347,409,85.65,62,5.166666666666667,16.57741935483871
Freshwater,30,Flood #1,79.52,0,57,201,79.52,144,12,6.626666666666666
Seawater,5,Flood #1,93.083,2.509,57,199,90.574,142,11.833333333333334,7.654140845070422
Seawater,5,Flood #2,87.08,0.591,347,430,86.489,83,6.916666666666667,12.50443373493976
Seawater,10,Flood #1,83.897,0.798,57,225,83.099,168,14,5.935642857142858
Seawater,10,Flood #2,85.121,0.234,347,501,84.887,154,12.833333333333334,6.614571428571428
Seawater,20,Flood #1,79.737,7.309,57,272,72.428,215,17.916666666666668,4.042493023255814
Seawater,20,Flood #2,83.916,0.253,347,561,83.663,214,17.833333333333332,4.691383177570094
Seawater,30,Flood #1,76.977,0.444,58,457,76.533,399,33.25,2.301744360902256
Freshwater,30,Flood #2,0,0,0,1,0,1,0.08333333333333333,0
Seawater,30,Flood #2,0,0,0,1,0,1,0.08333333333333333,0
