variable,depth,period2,p_friedman
vwc_n,5,1_preflood,0.36787944117144233
vwc_n,5,2_flood,1.2278113047340493e-5
vwc_n,5,3_postflood,9.118819655545162e-4
vwc_n,15,1_preflood,0.7939226578179512
vwc_n,15,2_flood,2.2603294069810542e-6
vwc_n,15,3_postflood,9.118819655545162e-4
vwc_n,30,1_preflood,0.925961078642316
vwc_n,30,2_flood,2.2603294069810542e-6
vwc_n,30,3_postflood,9.118819655545162e-4
ec_n,5,1_preflood,0.1988141887380742
ec_n,5,2_flood,5.689301498095234e-6
ec_n,5,3_postflood,9.118819655545162e-4
ec_n,15,1_preflood,0.925961078642316
ec_n,15,2_flood,2.2603294069810542e-6
ec_n,15,3_postflood,9.118819655545162e-4
ec_n,30,1_preflood,0.925961078642316
ec_n,30,2_flood,2.2603294069810542e-6
ec_n,30,3_postflood,9.118819655545162e-4
do_percent_sat_n,10,1_preflood,0.8824969025845953
do_percent_sat_n,10,2_flood,0.03660053915427093
do_percent_sat_n,10,3_postflood,0.003805040775511363
do_percent_sat_n,20,1_preflood,0.8824969025845953
do_percent_sat_n,20,2_flood,1.5465124878897094e-5
do_percent_sat_n,20,3_postflood,9.118819655545162e-4
do_percent_sat_n,30,1_preflood,0.41686201967850844
do_percent_sat_n,30,2_flood,9.072366609581126e-5
do_percent_sat_n,30,3_postflood,9.118819655545162e-4
do_percent_sat_n,5,1_preflood,0.03389485352468927
do_percent_sat_n,5,2_flood,0.4053805564589425
do_percent_sat_n,5,3_postflood,0.008150971593502702
eh_mv_n,5,1_preflood,1
eh_mv_n,5,2_flood,5.689301498095234e-6
eh_mv_n,5,3_postflood,0.002148775480909723
eh_mv_n,15,1_preflood,1
eh_mv_n,15,2_flood,2.2603294069810542e-6
eh_mv_n,15,3_postflood,0.003805040775511363
eh_mv_n,30,1_preflood,0.7788007830714049
eh_mv_n,30,2_flood,2.271902923611816e-5
eh_mv_n,30,3_postflood,9.118819655545162e-4
eh_mv_n,50,1_preflood,1
eh_mv_n,50,2_flood,0.023069802465486518
eh_mv_n,50,3_postflood,9.118819655545162e-4
